127.0.0.1 - - [29/Apr/2020:04:42:52 -0600] "GET / HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:54 -0600] "GET /TravelExpertJsp/ HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:54 -0600] "GET /TravelExpertJsp/js/travelExpert.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:54 -0600] "GET /TravelExpertJsp/travelExpert.js/ HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:54 -0600] "GET /TravelExpertJsp/travelExpert.js/ HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:54 -0600] "GET /favicon.ico HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:56 -0600] "GET /TravelExpertJsp/Customers.jsp HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:56 -0600] "GET /TravelExpertJsp/travelExpert.js/ HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:57 -0600] "GET /TravelExpertJsp/Agents.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:57 -0600] "GET /TravelExpertJsp/travelExpert.js/ HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:58 -0600] "GET /TravelExpertJsp/Bookings.jsp HTTP/1.1" 200 2010
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:58 -0600] "GET /TravelExpertJsp/travelExpert.js/ HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:59 -0600] "GET /TravelExpertJsp/Agents.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [29/Apr/2020:04:42:59 -0600] "GET /TravelExpertJsp/travelExpert.js/ HTTP/1.1" 404 748
